InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,InvoiceDay,InvoiceMonth,InvoiceYear,InvoiceHour,DayOfWeek,IsUk,TotalPrice,IsWeekend,Sales_Lag_1,Sales_Lag_7,Sales_Mean_7,Sales_Mean_30,Trend_Lag1_vs_Lag7,DailyTotal
C536548,22631,CIRCUS PARADE LUNCH BOX ,-1,2010-12-01,1.95,12472.0,Germany,1,12,2010,14,2,0,-1.95,0,-9.9,-2.95,-7.114285714285715,,-6.95,-297.73
C536548,22168,ORGANISER WOOD ANTIQUE WHITE ,-2,2010-12-01,8.5,12472.0,Germany,1,12,2010,14,2,0,-17.0,0,-1.95,-8.75,-8.292857142857143,,6.8,-297.73
C536548,21218,RED SPOTTY BISCUIT TIN,-3,2010-12-01,3.75,12472.0,Germany,1,12,2010,14,2,0,-11.25,0,-17.0,-5.95,-9.049999999999999,,-11.05,-297.73
C536548,20957,PORCELAIN HANGING BELL SMALL,-1,2010-12-01,1.45,12472.0,Germany,1,12,2010,14,2,0,-1.45,0,-11.25,-19.9,-6.414285714285714,,8.649999999999999,-297.73
C536548,22580,ADVENT CALENDAR GINGHAM SACK,-4,2010-12-01,5.95,12472.0,Germany,1,12,2010,14,2,0,-23.8,0,-1.45,-1.65,-9.578571428571427,,0.19999999999999996,-297.73
C536606,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,-2,2010-12-02,2.95,14092.0,United Kingdom,2,12,2010,9,3,1,-5.9,0,-23.8,-1.7,-10.178571428571429,,-22.1,-1541.1000000000001
C536622,22752,SET 7 BABUSHKA NESTING BOXES,-2,2010-12-02,8.5,12471.0,Germany,2,12,2010,10,3,0,-17.0,0,-5.9,-9.9,-11.192857142857141,,4.0,-1541.1000000000001
C536625,22839,3 TIER CAKE TIN GREEN AND CREAM,-2,2010-12-02,14.95,14766.0,United Kingdom,2,12,2010,10,3,1,-29.9,0,-17.0,-1.95,-15.185714285714285,,-15.05,-1541.1000000000001
C536642,21463,MIRRORED DISCO BALL ,-1,2010-12-02,5.95,14390.0,United Kingdom,2,12,2010,11,3,1,-5.95,0,-29.9,-17.0,-13.607142857142858,,-12.899999999999999,-1541.1000000000001
C536734,22780,LIGHT GARLAND BUTTERFILES PINK,-4,2010-12-02,4.25,16042.0,United Kingdom,2,12,2010,12,3,1,-17.0,0,-5.95,-11.25,-14.428571428571429,-12.449333333333334,5.3,-1541.1000000000001
C536734,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,-1,2010-12-02,7.95,16042.0,United Kingdom,2,12,2010,12,3,1,-7.95,0,-17.0,-1.45,-15.357142857142858,-12.559333333333335,-15.55,-1541.1000000000001
C536737,22798,ANTIQUE GLASS DRESSING TABLE POT,-2,2010-12-02,2.95,15922.0,United Kingdom,2,12,2010,13,3,1,-5.9,0,-7.95,-23.8,-12.799999999999999,-12.096,15.850000000000001,-1541.1000000000001
C536757,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,-9360,2010-12-02,0.03,15838.0,United Kingdom,2,12,2010,14,3,1,-280.8,0,-5.9,-5.9,-52.07142857142857,-21.224,0.0,-1541.1000000000001
C536758,21314,SMALL GLASS HEART TRINKET POT,-1,2010-12-02,2.1,13767.0,United Kingdom,2,12,2010,14,3,1,-2.1,0,-280.8,-17.0,-49.94285714285714,-21.062,-263.8,-1541.1000000000001
C536760,22175,PINK OWL SOFT TOY,-1,2010-12-02,2.95,17547.0,United Kingdom,2,12,2010,14,3,1,-2.95,0,-2.1,-29.9,-46.09285714285715,-20.928333333333335,27.799999999999997,-1541.1000000000001
C536760,22273,FELTCRAFT DOLL MOLLY,-3,2010-12-02,2.95,17547.0,United Kingdom,2,12,2010,14,3,1,-8.850000000000001,0,-2.95,-5.95,-46.50714285714285,-19.843333333333337,3.0,-1541.1000000000001
C536807,22501,PICNIC BASKET WICKER LARGE,-2,2010-12-02,9.95,15834.0,United Kingdom,2,12,2010,16,3,1,-19.9,0,-8.850000000000001,-17.0,-46.92142857142857,-19.846666666666668,8.149999999999999,-1541.1000000000001
C536807,22778,GLASS CLOCHE SMALL,-1,2010-12-02,3.95,15834.0,United Kingdom,2,12,2010,16,3,1,-3.95,0,-19.9,-7.95,-46.35,-18.658333333333335,-11.95,-1541.1000000000001
C536812,22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,-36,2010-12-02,0.85,16546.0,United Kingdom,2,12,2010,16,3,1,-30.6,0,-3.95,-5.9,-49.87857142857143,-18.82833333333333,1.9500000000000002,-1541.1000000000001
C536812,22574,HEART WOODEN CHRISTMAS DECORATION,-192,2010-12-02,0.72,16546.0,United Kingdom,2,12,2010,16,3,1,-138.24,0,-30.6,-280.8,-29.512857142857143,-23.366333333333333,250.20000000000002,-1541.1000000000001
C536812,22593,CHRISTMAS GINGHAM STAR,-144,2010-12-02,0.72,16546.0,United Kingdom,2,12,2010,16,3,1,-103.68,0,-138.24,-2.1,-44.02428571428572,-26.765666666666668,-136.14000000000001,-1541.1000000000001
C536812,22595,CHRISTMAS GINGHAM HEART,-144,2010-12-02,0.72,16546.0,United Kingdom,2,12,2010,16,3,1,-103.68,0,-103.68,-2.95,-58.41428571428572,-29.961666666666666,-100.73,-1541.1000000000001
C536812,22588,CARD HOLDER GINGHAM HEART,-192,2010-12-02,2.1,16546.0,United Kingdom,2,12,2010,16,3,1,-403.2000000000001,0,-103.68,-8.850000000000001,-114.75000000000001,-43.12666666666667,-94.83000000000001,-1541.1000000000001
C536812,22130,PARTY CONE CHRISTMAS DECORATION ,-144,2010-12-02,0.72,16546.0,United Kingdom,2,12,2010,16,3,1,-103.68,0,-403.2000000000001,-19.9,-126.71857142857145,-46.48433333333334,-383.3000000000001,-1541.1000000000001
C536814,21527,RED RETROSPOT TRADITIONAL TEAPOT ,-2,2010-12-02,7.95,13958.0,United Kingdom,2,12,2010,17,3,1,-15.9,0,-103.68,-3.95,-128.4257142857143,-46.72266666666667,-99.73,-1541.1000000000001
C536814,72799E,IVORY PILLAR CANDLE SILVER FLOCK,-6,2010-12-02,2.95,13958.0,United Kingdom,2,12,2010,17,3,1,-17.700000000000003,0,-15.9,-30.6,-126.58285714285715,-47.114333333333335,14.700000000000001,-1541.1000000000001
C536814,85066,CREAM SWEETHEART MINI CHEST,-2,2010-12-02,12.75,13958.0,United Kingdom,2,12,2010,17,3,1,-25.5,0,-17.700000000000003,-138.24,-110.47714285714288,-47.30100000000001,120.54,-1541.1000000000001
C536814,21586,KINGS CHOICE GIANT TUBE MATCHES,-12,2010-12-02,2.55,13958.0,United Kingdom,2,12,2010,17,3,1,-30.6,0,-25.5,-103.68,-100.03714285714287,-48.266000000000005,78.18,-1541.1000000000001
C536814,21258,VICTORIAN SEWING BOX LARGE,-1,2010-12-02,12.75,13958.0,United Kingdom,2,12,2010,17,3,1,-12.75,0,-30.6,-103.68,-87.04714285714287,-48.63433333333334,73.08000000000001,-1541.1000000000001
C536815,85175,CACTI T-LIGHT CANDLES,-1,2010-12-02,0.42,14443.0,United Kingdom,2,12,2010,17,3,1,-0.42,0,-12.75,-403.2000000000001,-29.50714285714286,-48.31833333333334,390.4500000000001,-1541.1000000000001
C536815,22178,VICTORIAN GLASS HANGING T-LIGHT,-1,2010-12-02,1.25,14443.0,United Kingdom,2,12,2010,17,3,1,-1.25,0,-0.42,-103.68,-14.874285714285715,-48.295,103.26,-1541.1000000000001
C536816,21129,SILVER FISHING GNOME ,-2,2010-12-02,6.95,14443.0,United Kingdom,2,12,2010,17,3,1,-13.9,0,-1.25,-15.9,-14.588571428571429,-48.19166666666668,14.65,-1541.1000000000001
C536817,22187,GREEN CHRISTMAS TREE CARD HOLDER,-1,2010-12-02,4.25,14156.0,EIRE,2,12,2010,17,3,0,-4.25,0,-13.9,-17.700000000000003,-12.66714285714286,-47.95833333333334,3.8000000000000025,-1541.1000000000001
C536817,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,-1,2010-12-02,3.25,14156.0,EIRE,2,12,2010,17,3,0,-3.25,0,-4.25,-25.5,-9.48857142857143,-48.01833333333334,21.25,-1541.1000000000001
C536818,84947,ANTIQUE SILVER TEA GLASS ENGRAVED,-1,2010-12-02,1.25,16995.0,United Kingdom,2,12,2010,17,3,1,-1.25,0,-3.25,-30.6,-5.295714285714285,-47.26666666666667,27.35,-1541.1000000000001
C536820,22877,NUMBER TILE COTTAGE GARDEN 9,-1,2010-12-02,1.95,18168.0,United Kingdom,2,12,2010,17,3,1,-1.95,0,-1.25,-12.75,-3.7528571428571427,-47.135000000000005,11.5,-1541.1000000000001
C536820,22869,NUMBER TILE COTTAGE GARDEN 1,-1,2010-12-02,1.95,18168.0,United Kingdom,2,12,2010,17,3,1,-1.95,0,-1.95,-0.42,-3.971428571428571,-46.63333333333333,-1.53,-1541.1000000000001
C536820,22878,NUMBER TILE COTTAGE GARDEN No,-1,2010-12-02,2.1,18168.0,United Kingdom,2,12,2010,17,3,1,-2.1,0,-1.95,-1.25,-4.0928571428571425,-45.70666666666668,-0.7,-1541.1000000000001
C536820,21843,RED RETROSPOT CAKE STAND,-1,2010-12-02,10.95,18168.0,United Kingdom,2,12,2010,17,3,1,-10.95,0,-2.1,-13.9,-3.6714285714285713,-45.87333333333334,11.8,-1541.1000000000001
C536822,22847,BREAD BIN DINER STYLE IVORY,-2,2010-12-02,16.95,14625.0,United Kingdom,2,12,2010,17,3,1,-33.9,0,-10.95,-4.25,-7.907142857142857,-46.436666666666675,-6.699999999999999,-1541.1000000000001
C536822,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,-1,2010-12-02,3.75,14625.0,United Kingdom,2,12,2010,17,3,1,-3.75,0,-33.9,-3.25,-7.978571428571429,-46.29666666666667,-30.65,-1541.1000000000001
C536825,22617,BAKING SET SPACEBOY DESIGN,-1,2010-12-02,4.95,15384.0,United Kingdom,2,12,2010,17,3,1,-4.95,0,-3.75,-1.25,-8.507142857142858,-46.265,-2.5,-1541.1000000000001
C536825,22197,SMALL POPCORN HOLDER,-2,2010-12-02,0.85,15384.0,United Kingdom,2,12,2010,17,3,1,-1.7,0,-4.95,-1.95,-8.471428571428572,-36.96166666666667,-3.0,-1541.1000000000001
C536826,35004B,SET OF 3 BLACK FLYING DUCKS,-2,2010-12-02,4.65,17924.0,United Kingdom,2,12,2010,17,3,1,-9.3,0,-1.7,-1.95,-9.521428571428572,-37.201666666666675,0.25,-1541.1000000000001
C536826,35004B,SET OF 3 BLACK FLYING DUCKS,-3,2010-12-02,4.65,17924.0,United Kingdom,2,12,2010,17,3,1,-13.95,0,-9.3,-2.1,-11.214285714285717,-37.56833333333334,-7.200000000000001,-1541.1000000000001
C536827,21527,RED RETROSPOT TRADITIONAL TEAPOT ,-3,2010-12-02,6.95,13408.0,United Kingdom,2,12,2010,17,3,1,-20.85,0,-13.95,-10.95,-12.62857142857143,-37.96833333333334,-3.0,-1541.1000000000001
C536828,22832,BROCANTE SHELF WITH HOOKS,-1,2010-12-02,10.75,14264.0,United Kingdom,2,12,2010,17,3,1,-10.75,0,-20.85,-33.9,-9.321428571428571,-37.663333333333334,13.049999999999997,-1541.1000000000001
C536828,84946,ANTIQUE SILVER TEA GLASS ETCHED,-3,2010-12-02,1.25,14264.0,United Kingdom,2,12,2010,17,3,1,-3.75,0,-10.75,-3.75,-9.321428571428571,-37.656666666666666,-7.0,-1541.1000000000001
C536829,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,-1,2010-12-02,3.25,13295.0,United Kingdom,2,12,2010,17,3,1,-3.25,0,-3.75,-4.95,-9.078571428571427,-36.745000000000005,1.2000000000000002,-1541.1000000000001
C536850,22942,CHRISTMAS LIGHTS 10 SANTAS ,-48,2010-12-03,7.65,14213.0,United Kingdom,3,12,2010,9,4,1,-367.2000000000001,0,-3.25,-1.7,-61.29285714285716,-44.37700000000002,-1.55,-1323.25
C536850,22689,DOORMAT MERRY CHRISTMAS RED ,-50,2010-12-03,6.75,14213.0,United Kingdom,3,12,2010,9,4,1,-337.5,0,-367.2000000000001,-9.3,-108.17857142857144,-52.17100000000001,-357.9000000000001,-1323.25
C536850,22591,CARDHOLDER GINGHAM CHRISTMAS TREE,-50,2010-12-03,2.55,14213.0,United Kingdom,3,12,2010,9,4,1,-127.5,0,-337.5,-13.95,-124.4,-52.96500000000001,-323.55,-1323.25
C536850,22580,ADVENT CALENDAR GINGHAM SACK,-48,2010-12-03,4.95,14213.0,United Kingdom,3,12,2010,9,4,1,-237.6,0,-127.5,-20.85,-155.36428571428573,-47.44500000000001,-106.65,-1323.25
C536850,22186,RED STAR CARD HOLDER,-48,2010-12-03,2.55,14213.0,United Kingdom,3,12,2010,9,4,1,-122.4,0,-237.6,-10.75,-171.31428571428575,-48.069,-226.85,-1323.25
C536853,84678,CLASSICAL ROSE SMALL VASE,-1,2010-12-03,2.55,14679.0,United Kingdom,3,12,2010,10,4,1,-2.55,0,-122.4,-3.75,-171.14285714285717,-47.62400000000001,-118.65,-1323.25
C536854,22158,3 HEARTS HANGING DECORATION RUSTIC,-1,2010-12-03,2.95,15240.0,United Kingdom,3,12,2010,10,4,1,-2.95,0,-2.55,-3.25,-171.10000000000005,-47.13233333333334,0.7000000000000002,-1323.25
C536854,22944,CHRISTMAS METAL POSTCARD WITH BELLS,-1,2010-12-03,1.25,15240.0,United Kingdom,3,12,2010,10,4,1,-1.25,0,-2.95,-367.2000000000001,-118.82142857142857,-46.324000000000005,364.2500000000001,-1323.25
C536854,21871,SAVE THE PLANET MUG,-1,2010-12-03,1.25,15240.0,United Kingdom,3,12,2010,10,4,1,-1.25,0,-1.25,-337.5,-70.78571428571429,-45.345666666666666,336.25,-1323.25
C536855,21527,RED RETROSPOT TRADITIONAL TEAPOT ,-4,2010-12-03,7.95,18225.0,United Kingdom,3,12,2010,10,4,1,-31.8,0,-1.25,-127.5,-57.114285714285714,-45.98066666666667,126.25,-1323.25
C536978,22776,SWEETHEART CAKESTAND 3 TIER,-1,2010-12-03,9.95,17954.0,United Kingdom,3,12,2010,14,4,1,-9.95,0,-31.8,-237.6,-24.592857142857145,-46.29833333333334,205.79999999999998,-1323.25
C536979,84685,BEACH HUT KEY CABINET,-1,2010-12-03,3.75,17841.0,United Kingdom,3,12,2010,14,4,1,-3.75,0,-9.95,-122.4,-7.642857142857143,-46.381666666666675,112.45,-1323.25
C536979,22630,DOLLY GIRL LUNCH BOX,-1,2010-12-03,1.95,17841.0,United Kingdom,3,12,2010,14,4,1,-1.95,0,-3.75,-2.55,-7.557142857142858,-45.983333333333334,-1.2000000000000002,-1323.25
C537024,20893,HANGING BAUBLE T-LIGHT HOLDER SMALL,-36,2010-12-03,2.1,13941.0,United Kingdom,3,12,2010,16,4,1,-75.60000000000001,0,-1.95,-2.95,-17.935714285714287,-48.36166666666667,1.0000000000000002,-1323.25
C537039,22854,CREAM SWEETHEART EGG HOLDER,-1,2010-12-05,4.95,15708.0,United Kingdom,5,12,2010,10,6,1,-4.95,1,-75.60000000000001,-1.25,-18.464285714285715,-48.41833333333334,-74.35000000000001,-323.76
C537039,20936,FORKED CACTUS CANDLE,-1,2010-12-05,2.95,15708.0,United Kingdom,5,12,2010,10,6,1,-2.95,1,-4.95,-1.25,-18.70714285714286,-48.475,-3.7,-323.76
C537039,85175,CACTI T-LIGHT CANDLES,-1,2010-12-05,0.42,15708.0,United Kingdom,5,12,2010,10,6,1,-0.42,1,-2.95,-31.8,-14.224285714285717,-48.424,28.85,-323.76
C537043,22575,METAL MERRY CHRISTMAS WREATH,-6,2010-12-05,1.95,15351.0,United Kingdom,5,12,2010,10,6,1,-11.7,1,-0.42,-9.95,-14.474285714285715,-48.74900000000001,9.53,-323.76
C537043,11001,ASSTD DESIGN RACING CAR PEN,-1,2010-12-05,1.69,15351.0,United Kingdom,5,12,2010,10,6,1,-1.69,1,-11.7,-3.75,-14.180000000000001,-48.73533333333334,-7.949999999999999,-323.76
C537132,22788,BROCANTE COAT RACK,-2,2010-12-05,8.5,15221.0,United Kingdom,5,12,2010,12,6,1,-17.0,1,-1.69,-1.95,-16.330000000000002,-48.937000000000005,0.26,-323.76
C537132,22184,CAKE STAND VICTORIAN FILIGREE LARGE,-1,2010-12-05,8.5,15221.0,United Kingdom,5,12,2010,12,6,1,-8.5,1,-17.0,-75.60000000000001,-6.744285714285715,-48.09033333333334,58.60000000000001,-323.76
C537132,71279,PINK GLASS CANDLEHOLDER,-2,2010-12-05,2.95,15221.0,United Kingdom,5,12,2010,12,6,1,-5.9,1,-8.5,-4.95,-6.88,-48.162000000000006,-3.55,-323.76
C537132,22761,CHEST 7 DRAWER MA CAMPAGNE,-2,2010-12-05,21.95,15221.0,United Kingdom,5,12,2010,12,6,1,-43.9,1,-5.9,-2.95,-12.73,-49.46033333333334,-2.95,-323.76
C537132,22769,CHALKBOARD KITCHEN ORGANISER,-8,2010-12-05,21.95,15221.0,United Kingdom,5,12,2010,12,6,1,-175.6,1,-43.9,-0.42,-37.755714285714284,-55.257,-43.48,-323.76
C537132,22762,CUPBOARD 3 DRAWER MA CAMPAGNE,-3,2010-12-05,12.75,15221.0,United Kingdom,5,12,2010,12,6,1,-38.25,1,-175.6,-11.7,-41.548571428571435,-56.222,-163.9,-323.76
C537203,37449,CERAMIC CAKE STAND + HANGING CAKES,-1,2010-12-05,9.95,14606.0,United Kingdom,5,12,2010,14,6,1,-9.95,1,-38.25,-1.69,-42.728571428571435,-56.08866666666667,-36.56,-323.76
C537203,21424,WOODLAND STORAGE BOX LARGE ,-1,2010-12-05,2.95,14606.0,United Kingdom,5,12,2010,14,6,1,-2.95,1,-9.95,-17.0,-40.721428571428575,-55.492000000000004,7.050000000000001,-323.76
C537232,84840,SWEETHEART CARRY-ALL BASKET,-2,2010-12-06,8.5,12586.0,Italy,6,12,2010,9,0,0,-17.0,0,-2.95,-8.5,-41.93571428571429,-55.70033333333334,5.55,-766.67
C537234,22653,BUTTON BOX ,-20,2010-12-06,1.95,16161.0,United Kingdom,6,12,2010,9,0,1,-39.0,0,-17.0,-5.9,-46.66428571428571,-56.87533333333334,-11.1,-766.67
C537251,22429,ENAMEL MEASURING JUG CREAM,-2,2010-12-06,4.25,,United Kingdom,6,12,2010,10,0,1,-8.5,0,-39.0,-43.9,-41.607142857142854,-57.05033333333334,4.899999999999999,-766.67
C537251,22620,4 TRADITIONAL SPINNING TOPS,-8,2010-12-06,1.25,,United Kingdom,6,12,2010,10,0,1,-10.0,0,-8.5,-175.6,-17.95,-45.14366666666667,167.1,-766.67
C537251,21890,S/6 WOODEN SKITTLES IN COTTON BAG,-2,2010-12-06,2.95,,United Kingdom,6,12,2010,10,0,1,-5.9,0,-10.0,-38.25,-13.328571428571427,-34.090333333333334,28.25,-766.67
C537251,22564,ALPHABET STENCIL CRAFT,-5,2010-12-06,1.25,,United Kingdom,6,12,2010,10,0,1,-6.25,0,-5.9,-9.95,-12.799999999999999,-30.04866666666667,4.049999999999999,-766.67
C537251,21891,TRADITIONAL WOODEN SKIPPING ROPE,-3,2010-12-06,1.25,,United Kingdom,6,12,2010,10,0,1,-3.75,0,-6.25,-2.95,-12.914285714285713,-22.253666666666668,-3.3,-766.67
C537251,22747,POPPY'S PLAYHOUSE BATHROOM,-6,2010-12-06,2.1,,United Kingdom,6,12,2010,10,0,1,-12.6,0,-3.75,-17.0,-12.285714285714286,-18.593666666666664,13.25,-766.67
C537251,22454,MEASURING TAPE BABUSHKA RED,-8,2010-12-06,2.95,,United Kingdom,6,12,2010,10,0,1,-23.6,0,-12.6,-39.0,-10.085714285714285,-19.295333333333335,26.4,-766.67
C537251,22327,ROUND SNACK BOXES SET OF 4 SKULLS,-4,2010-12-06,2.95,,United Kingdom,6,12,2010,10,0,1,-11.8,0,-23.6,-8.5,-10.557142857142859,-19.590333333333334,-15.100000000000001,-766.67
C537251,21915,RED  HARMONICA IN BOX ,-4,2010-12-06,1.25,,United Kingdom,6,12,2010,10,0,1,-5.0,0,-11.8,-10.0,-9.842857142857143,-19.715333333333334,-1.8000000000000007,-766.67
C537251,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,-9,2010-12-06,2.55,,United Kingdom,6,12,2010,10,0,1,-22.95,0,-5.0,-5.9,-12.278571428571428,-20.438666666666666,0.9000000000000004,-766.67
C537251,22748,POPPY'S PLAYHOUSE KITCHEN,-4,2010-12-06,2.1,,United Kingdom,6,12,2010,10,0,1,-8.4,0,-22.95,-6.25,-12.585714285714287,-19.658666666666665,-16.7,-766.67
C537251,22943,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,-6,2010-12-06,4.95,,United Kingdom,6,12,2010,10,0,1,-29.700000000000003,0,-8.4,-3.75,-16.292857142857144,-20.317,-4.65,-766.67
C537251,22418,10 COLOUR SPACEBOY PEN,-7,2010-12-06,0.85,,United Kingdom,6,12,2010,10,0,1,-5.95,0,-29.700000000000003,-12.6,-15.342857142857143,-20.390333333333334,-17.1,-766.67
C537251,22911,PAPER CHAIN KIT LONDON,-2,2010-12-06,2.95,,United Kingdom,6,12,2010,10,0,1,-5.9,0,-5.95,-23.6,-12.814285714285715,-20.522,17.650000000000002,-766.67
C537251,22940,FELTCRAFT CHRISTMAS FAIRY,-5,2010-12-06,4.25,,United Kingdom,6,12,2010,10,0,1,-21.25,0,-5.9,-11.8,-14.164285714285715,-18.71033333333333,5.9,-766.67
C537251,22141,CHRISTMAS CRAFT TREE TOP ANGEL,-8,2010-12-06,2.1,,United Kingdom,6,12,2010,10,0,1,-16.8,0,-21.25,-5.0,-15.85,-19.10533333333333,-16.25,-766.67
C537251,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,-2,2010-12-06,2.95,,United Kingdom,6,12,2010,10,0,1,-5.9,0,-16.8,-22.95,-13.414285714285715,-19.203666666666663,6.149999999999999,-766.67
C537251,22536,MAGIC DRAWING SLATE PURDEY,-11,2010-12-06,0.42,,United Kingdom,6,12,2010,10,0,1,-4.62,0,-5.9,-8.4,-12.874285714285715,-19.343666666666664,2.5,-766.67
C537251,21826,EIGHT PIECE DINOSAUR SET,-4,2010-12-06,1.25,,United Kingdom,6,12,2010,10,0,1,-5.0,0,-4.62,-29.700000000000003,-9.345714285714285,-19.12033333333333,25.080000000000002,-766.67
C537251,22466,FAIRY TALE COTTAGE NIGHTLIGHT,-3,2010-12-06,1.95,,United Kingdom,6,12,2010,10,0,1,-5.85,0,-5.0,-5.95,-9.331428571428571,-19.259,0.9500000000000002,-766.67
C537320,35400,WOODEN BOX ADVENT CALENDAR ,-1,2010-12-06,8.95,14867.0,United Kingdom,6,12,2010,11,0,1,-8.95,0,-5.85,-5.9,-9.767142857142858,-18.990666666666666,0.05000000000000071,-766.67
C537333,22636,CHILDS BREAKFAST SET CIRCUS PARADE,-4,2010-12-06,8.5,12474.0,Germany,6,12,2010,12,0,0,-34.0,0,-8.95,-21.25,-11.588571428571429,-19.840666666666667,12.3,-766.67
C537373,22423,REGENCY CAKESTAND 3 TIER,-1,2010-12-06,12.75,14487.0,United Kingdom,6,12,2010,12,0,1,-12.75,0,-34.0,-16.8,-11.010000000000002,-20.069000000000003,-17.2,-766.67
C537383,21658,GLASS  BEURRE DISH,-1,2010-12-06,3.95,16550.0,United Kingdom,6,12,2010,13,0,1,-3.95,0,-12.75,-5.9,-10.731428571428571,-18.73733333333333,-6.85,-766.67
